Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes",QC
,Hazlehurst-Jeff Davis Historical Museum Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Hazlehurst, Georgia, USA",,,,,"35 S TALLAHASSEE ST, HAZLEHURST, GA 31539-6101",,,Hazlehurst,,,Jeff Davis County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.exploregeorgia.org/hazlehurst/history-heritage/history-heritage-museums/hazlehurst-jeff-davis-historical-museum-society-inc,,,,,,"","","",,,,,,,,,,31539-6101,,,,,,"","",
,Heard County Historic Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Franklin, Georgia, USA",,,,,"161 SHADY ST, FRANKLIN, GA 30217",,,Franklin,,,Heard County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.heardhistory.com,,,,,,"","","",,,,,,,,,,30217,,,,,,"","",
,Heard County Historical Society & Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Franklin, Georgia, USA",,,,,,,,Franklin,,,Heard County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.heardhistory.com/,,,,,,"","","",,,,,,,990,,,30217-0990,,,,,,"","",
,Hebron Historical Society Of Banks County Georgia,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Commerce, Georgia, USA",,,,,"24174 GEORGIA HIGHWAY 59, COMMERCE, GA 30530",,,Commerce,,,Jackson County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.bankscountyhistoricalsociety.org/,,,,,,"","","",,,,,,,,,,30530,,,,,,"","",
,Heritage Hall,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Madison, Georgia, USA",,,,,"  ",,,Madison,,,Morgan County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://friendsofheritagehall.org/,,,,,,"","","",,,,,,,,,,,,,,,,"","",
,Heritage Park Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Mcdonough, Georgia, USA",,,,,"101 LAKE DOW ROAD, MCDONOUGH, GA 30253-1710",,,Mcdonough,,,Henry County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.heritageparkveteransmuseum.com/,,,,,,"","","",,,,,,,,,,30253-1710,,,,,,"","",
,Heritage Station Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Douglas, Georgia, USA",,,,,"219 WARD ST W, DOUGLAS, GA 31533",,,Douglas,,,Coffee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.cityofdouglas.com/125/Heritage-Station-Museum,,,,,,"","","",,,,,,,,,,31533,,,,,,"","",
,Herndon Home,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"587 UNIVERSITY PL NW, ATLANTA, GA 30314",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.herndonhome.org/,,,,,,"","","",,,,,,,,,,30314,,,,,,"","",
,Hickory Hill's Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Thomson, Georgia, USA",,,,,"502 HICKORY HILL DR, THOMSON, GA 30824",,,Thomson,,,McDuffie County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.hickory-hill.org,,,,,,"","","",,,,,,,,,,30824,,,,,,"","",
,Hiram Rosenwald School Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Hiram, Georgia, USA",,,,,"732 HIRAM DOUGLASVILLE HWY, HIRAM, GA 30141",,,Hiram,,,Paulding County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.hiramrosenwaldschool.org/#new-page,,,,,,"","","",,,,,,,,,,30141,,,,,,"","",
,Historic Augusta,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Augusta, Georgia, USA",,,,,"415 7TH STREET, AUGUSTA, GA 30903-0037",,,Augusta,,,Richmond County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.historicaugusta.org/,,,,,,"","","",,,,,,,,,,30903-0037,,,,,,"","",
,Historic Augusta Inc Endowment Trust,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Augusta, Georgia, USA",,,,,"111 10TH STREET, AUGUSTA, GA 30903",,,Augusta,,,Richmond County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.historicaugusta.org/?PN=%2FEndowments,,,,,,"","","",,,,,,,,,,30903,,,,,,"","",
,Historic Banning Mills,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Whitesburg, Georgia, USA",,,,,"205 HORSESHOE DAM RD, WHITESBURG, GA 30185-2560",,,Whitesburg,,,Carroll County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.historicbanningmills.com,,,,,,"","","",,,,,,,,,,30185-2560,,,,,,"","",
,Historic Brunswick Seaport,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Brunswick, Georgia, USA",,,,,"824 UNION STREET, BRUNSWICK, GA 31520-7800",,,Brunswick,,,Glynn County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,31520-7800,,,,,,"","",
,Historic Center Of Alma Bacon County Georgia,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Alma, Georgia, USA",,,,,"718 W 12TH ST, ALMA, GA 31510-1961",,,Alma,,,Bacon County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.nps.gov/nr/feature/places/13000904.htm,,,,,,"","","",,,,,,,,,,31510-1961,,,,,,"","",
,Historic Columbus Foundation,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Columbus, Georgia, USA",,,,,,,,Columbus,,,Muscogee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.historiccolumbus.com/,,,,,,"","","",,,,,,,5312,,,31906-0312,,,,,,"","",
,Historic District Preservation Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Columbus, Georgia, USA",,,,,,,,Columbus,,,Muscogee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,263,,,31902-0263,,,,,,"","",
,Historic Effingham Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Springfield, Georgia, USA",,,,,"1002 PINE STREET, SPRINGFIELD, GA 31329-0999",,,Springfield,,,Effingham County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.facebook.com/HistoricEffingham/,,,,,,"","","",,,,,,,,,,31329-0999,,,,,,"","",
,Historic George Washington Carver Heights Subdivision Preservation,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Columbus, Georgia, USA",,,,,,,,Columbus,,,Muscogee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,5468,,,31906-3190,,,,,,"","",
,Historic Marietta Square Branding Project,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Marietta, Georgia, USA",,,,,,,,Marietta,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,1805,,,30061,,,,,,"","",
,Historic Norcross Preservation Alliance,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Norcross, Georgia, USA",,,,,"442 N PEACHTREE ST, NORCROSS, GA 30071-2139",,,Norcross,,,Gwinnett County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.norcrossga.net/893/Historic-Preservation-Commission,,,,,,"","","",,,,,,,,,,30071-2139,,,,,,"","",
,Historic Olgethorpe County,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Lexington, Georgia, USA",,,,,,,,Lexington,,,Oglethorpe County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.historicoglethorpecounty.com/,,,,,,"","","",,,,,,,307,,,30648-0307,,,,,,"","",
,Historic Preservation Fund Pilot Club Of Macon,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Macon, Georgia, USA",,,,,"102 PRESTON COURT, MACON, GA 31210",,,Macon,,,Bibb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,31210,,,,,,"","",
,Historic Preservation Society Of Social Circle,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Social Circle, Georgia, USA",,,,,"403 WEST HIGHTOWER TRAIL, SOCIAL CIRCLE, GA 30025",,,Social Circle,,,Walton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://historicsocialcirclega.com/,,,,,,"","","",,,,,,,,,,30025,,,,,,"","",
,Historic Transport Preservation,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,,,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://steamspecials.com/,,,,,,"","","",,,,,,,7772,,,30357-0772,,,,,,"","",
,Historic Westville,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Lumpkin, Georgia, USA",,,,,,,,Lumpkin,,,Stewart County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://westville.org,,,,,,"","","",,,,,,,1850,,,31815,,,,,,"","",
,Historical & Preservation Commission Of Centerville Ga,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Centerville, Georgia, USA",,,,,"100 LINDA DR, CENTERVILLE, GA 31028-1234",,,Centerville,,,Houston County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,31028-1234,,,,,,"","",
,Historical Jonesboro-Clayton,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Jonesboro, Georgia, USA",,,,,"100 CARRIAGE LN, JONESBORO, GA 30237-0922",,,Jonesboro,,,Clayton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.historicaljonesboro.org/,,,,,,"","","",,,,,,,,,,30237-0922,,,,,,"","",
,Historical Society Of Forsyth County,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Cumming, Georgia, USA",,,,,,,,Cumming,,,Forsyth County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.historicforsyth.com/,,,,,,"","","",,,,,,,1334,,,30028-1334,,,,,,"","",
,Historical Society Of Walton County,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Monroe, Georgia, USA",,,,,"NORTH BROAD STREET, MONROE, GA 30655",,,Monroe,,,Walton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.historicalsocietyofwaltoncounty.org/,,,,,,"","","",,,,,,,,,,30655,,,,,,"","",
,Hofwyl-Broadfield Plantation State Historic Site,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Brunswick, Georgia, USA",,,,,"5556 US HIGHWAY 17N, BRUNSWICK, GA 31525",,,Brunswick,,,Glynn County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://gastateparks.org/HofwylBroadfieldPlantation,,,,,,"","","",,,,,,,,,,31525,,,,,,"","",
,Hogansville Charitable Trust,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Hogansville, Georgia, USA",,,,,"204 JOHNSON ST, HOGANSVILLE, GA 30230-1124",,,Hogansville,,,Troup County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30230-1124,,,,,,"","",
,Huguenot Society Of Georgia,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Marietta, Georgia, USA",,,,,"2699 MEADOW RDG, MARIETTA, GA 30066-5628",,,Marietta,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://huguenotga.org/,,,,,,"","","",,,,,,,,,,30066-5628,,,,,,"","",
,Hungate Family Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Bowersville, Georgia, USA",,,,,,,,Bowersville,,,Hart County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,127,,,30516-0127,,,,,,"","",
,Imagination Station Childrens Museum Of Augusta,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Augusta, Georgia, USA",,,,,,,,Augusta,,,Richmond County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.imagineaugusta.org/,,,,,,"","","",,,,,,,12041,,,30914-2041,,,,,,"","",
,Indio Trail,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Dawsonville, Georgia, USA",,,,,"5492 HIGHWAY 52, DAWSONVILLE, GA 30534-1211",,,Dawsonville,,,Dawson County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.indiotrail.org/,,,,,,"","","",,,,,,,,,,30534-1211,,,,,,"","",
,Infantry Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Columbus, Georgia, USA",,,,,,,,Columbus,,,Muscogee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.nationalinfantrymuseum.org/,,,,,,"","","",,,,,,,2506,,,31902,,,,,,"","",
,Infinite Spirit Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Marietta, Georgia, USA",,,,,"390 ROSWELL ST SE, MARIETTA, GA 30060-8220",,,Marietta,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30060-8220,,,,,,"","",
,Interact Art Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,,,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,76456,,,30358-1456,,,,,,"","",
,Isaiah Davenport House Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Savannah, Georgia, USA",,,,,"324 EAST STATE STREET, SAVANNAH, GA 31401",,,Savannah,,,Chatham County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.davenporthousemuseum.org/,,,,,,"","","",,,,,,,,,,31401,,,,,,"","",
,Isle Of Hope Historical Association,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Savannah, Georgia, USA",,,,,"31 ISLAND DR, SAVANNAH, GA 31406-5238",,,Savannah,,,Chatham County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.iohha.com/,,,,,,"","","",,,,,,,,,,31406-5238,,,,,,"","",
,Jack Hadleys Black History Memorabilia,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Thomasville, Georgia, USA",,,,,"214 ALEXANDER ST, THOMASVILLE, GA 31792-4996",,,Thomasville,,,Thomas County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://jackhadleyblackhistorymuseum.com/,,,,,,"","","",,,,,,,,,,31792-4996,,,,,,"","",
,Jackson County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Commerce, Georgia, USA",,,,,,,,Commerce,,,Jackson County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.facebook.com/jacksoncountyhistoricalsocietyofga/,,,,,,"","","",,,,,,,1234,,,30529-0023,,,,,,"","",
,Jarrell Plantation Historic Site,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Juliette, Georgia, USA",,,,,"711 JARRELL PLANTATION ROAD, JULIETTE, GA 31046-9801",,,Juliette,,,Monroe County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://gastateparks.org/jarrellplantation,,,,,,"","","",,,,,,,,,,31046-9801,,,,,,"","",
,Jefferson County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Louisville, Georgia, USA",,,,,,,,Louisville,,,Jefferson County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.cityoflouisvillegeorgia.com/jefferson-county-historical-society/,,,,,,"","","",,,,,,,491,,,30434-0491,,,,,,"","",
,Jimmy Carter National Historic Site,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Plains, Georgia, USA",,,,,"300 N BOND ST, PLAINS, GA 31780-5562",,,Plains,,,Sumter County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.nps.gov/jica/index.htm,,,,,,"","","",,,,,,,,,,31780-5562,,,,,,"","",
,Jimmy Carter Presidential Library And Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"441 FREEDOM PARKWAY, ATLANTA, GA 30307",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.jimmycarterlibrary.gov/,,,,,,"","","",,,,,,,,,,30307,,,,,,"","",
,Jim-Ree African American Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Elberton, Georgia, USA",,,,,"24 SOUTH OLIVER STREET, ELBERTON, GA 30635-6281",,,Elberton,,,Elbert County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://jimree.org/,,,,,,"","","",,,,,,,,,,30635-6281,,,,,,"","",
,Joel Chandler Harris Association,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"1050 RALPH DAVID ABERNAT, ATLANTA, GA 30310-1812",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30310-1812,,,,,,"","",
,John Creek Children's Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Alpharetta, Georgia, USA",,,,,"10540 WREN RIDGE RD, ALPHARETTA, GA 30022-6644",,,Alpharetta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30022-6644,,,,,,"","",
,Johnson County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Wrightsville, Georgia, USA",,,,,"40 WILL TOM CIR, WRIGHTSVILLE, GA 31096-5255",,,Wrightsville,,,Johnson County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.facebook.com/pages/category/Nonprofit-Organization/Johnson-County-Historical-Society-114322495774092/,,,,,,"","","",,,,,,,,,,31096-5255,,,,,,"","",
,Jones County History & Heritage,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Gray, Georgia, USA",,,,,"161 WEST CLINTON STREET, GRAY, GA 31032-2605",,,Gray,,,Jones County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.jonescountyhistoryandheritage.com/,,,,,,"","","",,,,,,,,,,31032-2605,,,,,,"","",
,Jonesboro Fire House Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Jonesboro, Georgia, USA",,,,,"103 W MILL ST, JONESBORO, GA 30236",,,Jonesboro,,,Clayton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30236,,,,,,"","",
,Juliette Gordon Low Birthplace,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Savannah, Georgia, USA",,,,,"10 EAST OGLETHORPE AVENUE, SAVANNAH, GA 31401-3707",,,Savannah,,,Chatham County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.juliettegordonlowbirthplace.org/,,,,,,"","","",,,,,,,,,,31401-3707,,,,,,"","",
,Kennesaw Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Kennesaw, Georgia, USA",,,,,"2829 CHEROKEE ST NW, KENNESAW, GA 30144-2823",,,Kennesaw,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.facebook.com/kennesawhistoricalsociety/,,,,,,"","","",,,,,,,,,,30144-2823,,,,,,"","",
,Kennesaw Mountain Historical Association,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Kennesaw, Georgia, USA",,,,,"900 KENNESAW MOUNTAIN DR NW, KENNESAW, GA 30152-4854",,,Kennesaw,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30152-4854,,,,,,"","",
,Kennesaw Mountain Nbp,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Kennesaw, Georgia, USA",,,,,"900 KENNESAW MT DRIVE, KENNESAW, GA 30152",,,Kennesaw,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.nps.gov/kemo/index.htm,,,,,,"","","",,,,,,,,,,30152,,,,,,"","",
,Kennesaw Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Kennesaw, Georgia, USA",,,,,"2829 CHEROKEE ST NW, KENNESAW, GA 30144-2823",,,Kennesaw,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.southernmuseum.org,,,,,,"","","",,,,,,,,,,30144-2823,,,,,,"","",
,King-Tisdell Cottage Foundation,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Savannah, Georgia, USA",,,,,"502 E HARRIS ST, SAVANNAH, GA 31401-4622",,,Savannah,,,Chatham County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,31401-4622,,,,,,"","",
,Lanier County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Lakeland, Georgia, USA",,,,,"49 W MAIN ST, LAKELAND, GA 31635-6834",,,Lakeland,,,Lanier County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,31635-6834,,,,,,"","",
,Laurel And Hardy Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Harlem, Georgia, USA",,,,,"250 N LOUISVILLE ST, HARLEM, GA 30814",,,Harlem,,,Columbia County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.laurelandhardymuseum.com/,,,,,,"","","",,,,,,,,,,30814,,,,,,"","",
,Laurens County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Dublin, Georgia, USA",,,,,"311 ACADEMY AVENUE, DUBLIN, GA 31040-1461",,,Dublin,,,Laurens County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.facebook.com/Laurens-County-Historical-Society-623276941113046/,,,,,,"","","",,,,,,,,,,31040-1461,,,,,,"","",
