Name,Description,Alias,State,instance of
"Funkhouser, Georgia","unincorporated community in Georgia, United States","Funkhouser, Georgia",Georgia,unincorporated community
"Gardi, Georgia","unincorporated community in Georgia, United States","Gardi, Georgia",Georgia,unincorporated community
Glenloch,"unincorporated community in Georgia, United States","Glenloch, Georgia",Georgia,unincorporated community
"Glenn, Georgia","unincorporated community in Georgia, United States","Glenn, Georgia",Georgia,unincorporated community
"Glenwood, Floyd County, Georgia","unincorporated community in Georgia, United States","Glenwood, Floyd County, Georgia",Georgia,unincorporated community
"Glory, Georgia","unincorporated community in Georgia, United States","Glory, Georgia",Georgia,unincorporated community
"Gloster, Georgia","unincorporated community in Georgia, United States","Gloster, Georgia",Georgia,unincorporated community
"Goat Town, Georgia","unincorporated community in Georgia, United States","Goat Town, Georgia",Georgia,unincorporated community
"Godfrey, Georgia","unincorporated community in Georgia, United States","Godfrey, Georgia",Georgia,unincorporated community
"Gold Ridge, Georgia","unincorporated community in Georgia, United States","Gold Ridge, Georgia",Georgia,unincorporated community
Goose Island,"unincorporated community in Georgia, United States","Goose Island, Georgia",Georgia,unincorporated community
"Gore, Georgia","unincorporated community in Georgia, United States","Gore, Georgia",Georgia,unincorporated community
"Gough, Georgia","unincorporated community in Georgia, United States","Gough, Georgia",Georgia,unincorporated community
"Gratis, Georgia","unincorporated community in Georgia, United States","Gratis, Georgia",Georgia,unincorporated community
"Graves, Georgia","unincorporated community in Georgia, United States","Graves, Georgia",Georgia,unincorporated community
"Graysville, Georgia","unincorporated community in Georgia, United States","Graysville, Georgia",Georgia,unincorporated community
Greenough,"unincorporated community in Georgia, United States","Greenough, Georgia",Georgia,unincorporated community
Greenwood,"unincorporated community in Georgia, United States","Greenwood, Georgia",Georgia,unincorporated community
"Greshamville, Georgia","unincorporated community in Georgia, United States","Greshamville, Georgia",Georgia,unincorporated community
"Griswoldville, Georgia","unincorporated community in Georgia, United States","Griswoldville, Georgia",Georgia,unincorporated community
Grooverville,"unincorporated community in Georgia, United States","Grooverville, Georgia",Georgia,unincorporated community
"Grovania, Georgia","unincorporated community in Georgia, United States","Grovania, Georgia",Georgia,unincorporated community
"Habersham, Georgia","unincorporated community in Georgia, United States","Habersham, Georgia",Georgia,unincorporated community
Haddock,"unincorporated community in Georgia, United States","Haddock, Georgia",Georgia,unincorporated community
"Halcyondale, Georgia","unincorporated community in Georgia, United States","Halcyondale, Georgia",Georgia,unincorporated community
"Halls, Georgia","unincorporated community in Georgia, United States","Halls, Georgia",Georgia,unincorporated community
"Handy, Georgia","unincorporated community in Georgia, United States","Handy, Georgia",Georgia,unincorporated community
Hannah,"unincorporated community in Georgia, United States","Hannah, Georgia",Georgia,unincorporated community
"Hard Cash, Georgia","unincorporated community in Georgia, United States","Hard Cash, Georgia",Georgia,unincorporated community
Hard-Up,"unincorporated community in Georgia, United States","Hardup, Georgia",Georgia,unincorporated community
"Harris City, Georgia","unincorporated community in Georgia, United States","Harris City, Georgia",Georgia,unincorporated community
Hartford,"unincorporated community in Georgia, United States","Hartford, Georgia",Georgia,unincorporated community
"Hartsfield, Georgia","unincorporated community in Georgia, United States","Hartsfield, Georgia",Georgia,unincorporated community
"Hasslers Mill, Georgia","unincorporated community in Georgia, United States","Hasslers Mill, Georgia",Georgia,unincorporated community
"Hatley, Georgia","unincorporated community in Georgia, United States","Hatley, Georgia",Georgia,unincorporated community
"Hayneville, Georgia","unincorporated community in Georgia, United States","Hayneville, Georgia",Georgia,unincorporated community
"Heardmont, Georgia","unincorporated community in Georgia, United States","Heardmont, Georgia",Georgia,unincorporated community
"Hemp, Georgia","unincorporated community in Georgia, United States","Hemp, Georgia",Georgia,unincorporated community
"Henderson, Houston County, Georgia","unincorporated community in Georgia, United States","Henderson, Houston County, Georgia",Georgia,unincorporated community
"Hentown, Georgia","unincorporated community in Georgia, United States","Hentown, Georgia",Georgia,unincorporated community
Hickory Flat,"unincorporated community in Georgia, United States","Hickory Flat, Georgia",Georgia,unincorporated community
"Hickory Level, Georgia","unincorporated community in Georgia, United States","Hickory Level, Georgia",Georgia,unincorporated community
"High Point, Georgia","unincorporated community in Georgia, United States","High Point, Georgia",Georgia,unincorporated community
"Hillman, Georgia","unincorporated community in Georgia, United States","Hillman, Georgia",Georgia,unincorporated community
"Hillsboro, Georgia","unincorporated community in Georgia, United States","Hillsboro, Georgia",Georgia,unincorporated community
"Hilton, Georgia","unincorporated community in Georgia, United States","Hilton, Georgia",Georgia,unincorporated community
"Hinkles, Georgia","unincorporated community in Georgia, United States","Hinkles, Georgia",Georgia,unincorporated community
"Hinsonton, Georgia","unincorporated community in Georgia, United States","Hinsonton, Georgia",Georgia,unincorporated community
"Hix, Georgia","unincorporated community in Georgia, United States","Hix, Georgia",Georgia,unincorporated community
"Holland, Georgia","unincorporated community in Georgia, United States","Holland, Georgia",Georgia,unincorporated community
"Holley, Georgia","unincorporated community in Georgia, United States","Holley, Georgia",Georgia,unincorporated community
Hollingsworth,"unincorporated community in Georgia, United States","Hollingsworth, Georgia",Georgia,unincorporated community
"Hollonville, Georgia","unincorporated community in Georgia, United States","Hollonville, Georgia",Georgia,unincorporated community
"Hollywood, Georgia","unincorporated community in Georgia, United States","Hollywood, Georgia",Georgia,unincorporated community
"Holmesville, Georgia","unincorporated community in Georgia, United States","Holmesville, Georgia",Georgia,unincorporated community
"Hopeful, Georgia","unincorporated community in Georgia, United States","Hopeful, Georgia",Georgia,unincorporated community
Hopeulikit,"unincorporated community in Georgia, United States","Hopeulikit, Georgia",Georgia,unincorporated community
Hopewell,"unincorporated community in Georgia, United States","Hopewell, Fulton County, Georgia",Georgia,unincorporated community
"Hopewell, Camden County, Georgia","unincorporated community in Georgia, United States","Hopewell, Camden County, Georgia",Georgia,unincorporated community
"Hopewell, Harris County, Georgia","unincorporated community in Georgia, United States","Hopewell, Harris County, Georgia",Georgia,unincorporated community
Hortense,"unincorporated community in Georgia, United States","Hortense, Georgia",Georgia,unincorporated community
"Huber, Georgia","unincorporated community in Georgia, United States","Huber, Georgia",Georgia,unincorporated community
"Hutchins, Georgia","unincorporated community in Georgia, United States","Hutchins, Georgia",Georgia,unincorporated community
"Irwinville, Georgia","unincorporated community in Georgia, United States","Irwinville, Georgia",Georgia,unincorporated community
"Isabella, Georgia","unincorporated community in Georgia, United States","Isabella, Georgia",Georgia,unincorporated community
Ivy Log,"unincorporated community in Georgia, United States","Ivy Log, Georgia",Georgia,unincorporated community
Jewell,"unincorporated community in Georgia, United States","Jewell, Georgia",Georgia,unincorporated community
Jewtown,"unincorporated community in Georgia, United States","Jewtown, Georgia",Georgia,unincorporated community
"Joel, Georgia","unincorporated community in Georgia, United States","Joel, Georgia",Georgia,unincorporated community
Jot Em Down Store,"unincorporated community in Georgia, United States","Jot Em Down Store, Georgia",Georgia,unincorporated community
Juliette,"unincorporated community in Georgia, United States","Juliette, Georgia",Georgia,unincorporated community
Juniper,"unincorporated community in Georgia, United States","Juniper, Georgia",Georgia,unincorporated community
Juno,"unincorporated community in Georgia, United States","Juno, Georgia",Georgia,unincorporated community
"Kansas, Georgia","unincorporated community in Georgia, United States","Kansas, Georgia",Georgia,unincorporated community
Kathleen,"unincorporated community in Georgia, United States","Kathleen, Georgia",Georgia,unincorporated community
"Keith, Georgia","unincorporated community in Georgia, United States","Keith, Georgia",Georgia,unincorporated community
Keithsburg,"unincorporated community in Georgia, United States","Keithsburg, Georgia",Georgia,unincorporated community
Keller,"unincorporated community in Georgia, United States","Keller, Georgia",Georgia,unincorporated community
Kelleytown,"unincorporated community in Georgia, United States","Kelleytown, Georgia",Georgia,unincorporated community
"Kensington, Georgia","unincorporated community in Georgia, United States","Kensington, Georgia",Georgia,unincorporated community
"Kenwood, Fayette County, Georgia","unincorporated community in Georgia, United States","Kenwood, Fayette County, Georgia",Georgia,unincorporated community
"Killarney, Georgia","unincorporated community in Georgia, United States","Killarney, Georgia",Georgia,unincorporated community
Kirkland,"unincorporated community in Georgia, United States","Kirkland, Georgia",Georgia,unincorporated community
"Klondike, Hall County, Georgia","unincorporated community in Georgia, United States","Klondike, Hall County, Georgia",Georgia,unincorporated community
Knoxville,"unincorporated community in Georgia, United States","Knoxville, Georgia",Georgia,unincorporated community
La Crosse,"unincorporated community in Georgia, United States","La Crosse, Georgia",Georgia,unincorporated community
"Ladds, Georgia","unincorporated community in Georgia, United States","Ladds, Georgia",Georgia,unincorporated community
Lake Arrowhead,"unincorporated community in Georgia, United States","Lake Arrowhead, Georgia",Georgia,unincorporated community
"Lakemont, Georgia","unincorporated community in Georgia, United States","Lakemont, Georgia",Georgia,unincorporated community
Laney,"unincorporated community in Georgia, United States","Laney, Georgia",Georgia,unincorporated community
"Lanier, Georgia","unincorporated community in Georgia, United States","Lanier, Georgia",Georgia,unincorporated community
"Laurens Hill, Georgia","unincorporated community in Georgia, United States","Laurens Hill, Georgia",Georgia,unincorporated community
"Lavender, Georgia","unincorporated community in Georgia, United States","Lavender, Georgia",Georgia,unincorporated community
"Leaf, Georgia","unincorporated community in Georgia, United States","Leaf, Georgia",Georgia,unincorporated community
Lester,"unincorporated community in Georgia, United States","Lester, Georgia",Georgia,unincorporated community
"Lewis Corner, Georgia","unincorporated community in Georgia, United States","Lewis Corner, Georgia",Georgia,unincorporated community
"Lily Pond, Georgia","unincorporated community in Georgia, United States","Lily Pond, Georgia",Georgia,unincorporated community
Lindale,"unincorporated community in Georgia, United States","Lindale, Georgia",Georgia,unincorporated community
"Linton, Georgia","unincorporated community in Georgia, United States","Linton, Georgia",Georgia,unincorporated community
Lithia Springs,"unincorporated community in Georgia, United States","Lithia Springs, Georgia",Georgia,unincorporated community
Livingston,"unincorporated community in Georgia, United States","Livingston, Georgia",Georgia,unincorporated community
Lizella,"unincorporated community in Georgia, United States","Lizella, Georgia",Georgia,unincorporated community
Lothair,"unincorporated community in Georgia, United States","Lothair, Georgia",Georgia,unincorporated community
"Louvale, Georgia","unincorporated community in Georgia, United States","Louvale, Georgia",Georgia,unincorporated community
"Lovett, Georgia","unincorporated community in Georgia, United States","Lovett, Georgia",Georgia,unincorporated community
"Lucile, Georgia","unincorporated community in Georgia, United States","Lucile, Georgia",Georgia,unincorporated community
"Luxomni, Georgia","unincorporated community in Georgia, United States","Luxomni, Georgia",Georgia,unincorporated community
"Lytle, Georgia","unincorporated community in Georgia, United States","Lytle, Georgia",Georgia,unincorporated community
Macedonia,"unincorporated community in Georgia, United States","Macedonia, Georgia",Georgia,unincorporated community
"Madras, Georgia","unincorporated community in Georgia, United States","Madras, Georgia",Georgia,unincorporated community
"Manor, Georgia","unincorporated community in Georgia, United States","Manor, Georgia",Georgia,unincorporated community
Marble Spring,"unincorporated community in Georgia, United States",Marble Spring,Georgia,unincorporated community
"Marblehill, Georgia","unincorporated community in Georgia, United States","Marblehill, Georgia",Georgia,unincorporated community
"Marion, Georgia","unincorporated community in Georgia, United States","Marion, Georgia",Georgia,unincorporated community
Matt,"unincorporated community in Georgia, United States","Matt, Georgia",Georgia,unincorporated community
Matthews,"unincorporated community in Georgia, United States","Matthews, Georgia",Georgia,unincorporated community
Mauk,"unincorporated community in Georgia, United States","Mauk, Georgia",Georgia,unincorporated community
Mayfield,"unincorporated community in Georgia, United States","Mayfield, Georgia",Georgia,unincorporated community
"Mayhaw, Georgia","unincorporated community in Georgia, United States","Mayhaw, Georgia",Georgia,unincorporated community
"McDaniels, Georgia","unincorporated community in Georgia, United States","McDaniels, Georgia",Georgia,unincorporated community
McWhorter,"unincorporated community in Georgia, United States","McWhorter, Georgia",Georgia,unincorporated community
"Mechanicsville, Gwinnett County, Georgia","unincorporated community in Georgia, United States","Mechanicsville, Gwinnett County, Georgia",Georgia,unincorporated community
"Meeks, Georgia","unincorporated community in Georgia, United States","Meeks, Georgia",Georgia,unincorporated community
Meldrim,"unincorporated community in Georgia, United States","Meldrim, Georgia",Georgia,unincorporated community
Mendes,"unincorporated community in Georgia, United States","Mendes, Georgia",Georgia,unincorporated community
"Meridian, Georgia","unincorporated community in Georgia, United States","Meridian, Georgia",Georgia,unincorporated community
Meriwether,"unincorporated community in Georgia, United States","Meriwether, Georgia",Georgia,unincorporated community
Mershon,"unincorporated community in Georgia, United States","Mershon, Georgia",Georgia,unincorporated community
Mesena,"unincorporated community in Georgia, United States","Mesena, Georgia",Georgia,unincorporated community
Metcalfe,"unincorporated community in Georgia, United States","Metcalfe, Georgia",Georgia,unincorporated community
Milford,"unincorporated community in Georgia, United States","Milford, Georgia",Georgia,unincorporated community
"Millhaven, Georgia","unincorporated community in Georgia, United States","Millhaven, Georgia",Georgia,unincorporated community
"Millwood, Georgia","unincorporated community in Georgia, United States","Millwood, Georgia",Georgia,unincorporated community
Mineral Bluff,"unincorporated community in Georgia, United States","Mineral Bluff, Georgia",Georgia,unincorporated community
Moniac,"unincorporated community in Georgia, United States","Moniac, Georgia",Georgia,unincorporated community
"Montevideo, Georgia","unincorporated community in Georgia, United States","Montevideo, Georgia",Georgia,unincorporated community
Morris,"unincorporated community in Georgia, United States","Morris, Georgia",Georgia,unincorporated community
"Mossy Creek, Georgia","unincorporated community in Georgia, United States","Mossy Creek, Georgia",Georgia,unincorporated community
Mount Berry,"unincorporated community in Georgia, United States","Mount Berry, Georgia",Georgia,unincorporated community
"Mount Pisgah, Georgia","unincorporated community in Georgia, United States","Mount Pisgah, Georgia",Georgia,unincorporated community
"Mount Vernon, Whitfield County, Georgia","unincorporated community in Georgia, United States","Mount Vernon, Whitfield County, Georgia",Georgia,unincorporated community
Mountain View,"unincorporated community in Georgia, United States","Mountain View, Georgia",Georgia,unincorporated community
"Mulberry, Georgia","unincorporated community in Georgia, United States","Mulberry, Georgia",Georgia,unincorporated community
"Murrays Crossroads, Georgia","unincorporated community in Georgia, United States","Murrays Crossroads, Georgia",Georgia,unincorporated community
"Murrayville, Georgia","unincorporated community in Georgia, United States","Murrayville, Georgia",Georgia,unincorporated community
Musella,"unincorporated community in Georgia, United States","Musella, Georgia",Georgia,unincorporated community
"Mystic, Georgia","unincorporated community in Georgia, United States","Mystic, Georgia",Georgia,unincorporated community
"Nameless, Georgia","unincorporated community in Georgia, United States","Nameless, Georgia",Georgia,unincorporated community
"Naomi, Georgia","unincorporated community in Georgia, United States","Naomi, Georgia",Georgia,unincorporated community
Narrows,"unincorporated community in Georgia, United States","Narrows, Georgia",Georgia,unincorporated community
Naylor,"unincorporated community in Georgia, United States","Naylor, Georgia",Georgia,unincorporated community
"Nebo, Georgia","unincorporated community in Georgia, United States","Nebo, Georgia",Georgia,unincorporated community
"New England, Georgia","unincorporated community in Georgia, United States","New England, Georgia",Georgia,unincorporated community
"New Holland, Georgia","unincorporated community in Georgia, United States","New Holland, Georgia",Georgia,unincorporated community
New Hope,"unincorporated community in Georgia, United States","New Hope, Paulding County, Georgia",Georgia,unincorporated community
"New Hope, Early County, Georgia","unincorporated community in Georgia, United States","New Hope, Early County, Georgia",Georgia,unincorporated community
"New Switzerland, Georgia","unincorporated community in Georgia, United States","New Switzerland, Georgia",Georgia,unincorporated community
New Town,"unincorporated community in Georgia, United States","New Town, Georgia",Georgia,unincorporated community
"Newnan Springs, Georgia","unincorporated community in Georgia, United States","Newnan Springs, Georgia",Georgia,unincorporated community
"Neyami, Georgia","unincorporated community in Georgia, United States","Neyami, Georgia",Georgia,unincorporated community
"Nickelsville, Georgia","unincorporated community in Georgia, United States","Nickelsville, Georgia",Georgia,unincorporated community
Noonday,"unincorporated community in Georgia, United States","Noonday, Georgia",Georgia,unincorporated community
"Norristown, Georgia","unincorporated community in Georgia, United States","Norristown, Georgia",Georgia,unincorporated community
North Druid Hills,"unincorporated community in Georgia, United States","North Druid Hills, Georgia",Georgia,unincorporated community
Northlake,"unincorporated community in Georgia, United States","Northlake, Georgia",Georgia,unincorporated community
"Oak Grove, Georgia","unincorporated community in Georgia, United States","Oak Grove, Georgia",Georgia,unincorporated community
"Oakfield, Georgia","unincorporated community in Georgia, United States","Oakfield, Georgia",Georgia,unincorporated community
"Oakman, Georgia","unincorporated community in Georgia, United States","Oakman, Georgia",Georgia,unincorporated community
"Odessadale, Georgia","unincorporated community in Georgia, United States","Odessadale, Georgia",Georgia,unincorporated community
Oketeyeconne,"unincorporated community in Georgia, United States","Oketeyeconne, Georgia",Georgia,unincorporated community
Ola,"unincorporated community in Georgia, United States","Ola, Georgia",Georgia,unincorporated community
"Old Damascus, Georgia","unincorporated community in Georgia, United States","Old Damascus, Georgia",Georgia,unincorporated community
Omaha,"unincorporated community in Georgia, United States","Omaha, Georgia",Georgia,unincorporated community
"Oostanaula, Georgia","unincorporated community in Georgia, United States","Oostanaula, Georgia",Georgia,unincorporated community
Otter Creek,"unincorporated community in Georgia, United States","Otter Creek, Georgia",Georgia,unincorporated community
"Palmetto, Oglethorpe County, Georgia","unincorporated community in Georgia, United States","Palmetto, Oglethorpe County, Georgia",Georgia,unincorporated community
"Pannell, Georgia","unincorporated community in Georgia, United States","Pannell, Georgia",Georgia,unincorporated community
"Paoli, Georgia","unincorporated community in Georgia, United States","Paoli, Georgia",Georgia,unincorporated community
"Parkertown, Georgia","unincorporated community in Georgia, United States","Parkertown, Georgia",Georgia,unincorporated community
"Pateville, Georgia","unincorporated community in Georgia, United States","Pateville, Georgia",Georgia,unincorporated community
"Patmos, Georgia","unincorporated community in Georgia, United States","Patmos, Georgia",Georgia,unincorporated community
"Pebble City, Georgia","unincorporated community in Georgia, United States","Pebble City, Georgia",Georgia,unincorporated community
"Pecan City, Georgia","unincorporated community in Georgia, United States","Pecan City, Georgia",Georgia,unincorporated community
"Peeksville, Georgia","unincorporated community in Georgia, United States","Peeksville, Georgia",Georgia,unincorporated community
"Penfield, Georgia","unincorporated community in Georgia, United States","Penfield, Georgia",Georgia,unincorporated community
"Penia, Georgia","unincorporated community in Georgia, United States","Penia, Georgia",Georgia,unincorporated community
"Pennington, Georgia","unincorporated community in Georgia, United States","Pennington, Georgia",Georgia,unincorporated community
"Pennville, Georgia","unincorporated community in Georgia, United States","Pennville, Georgia",Georgia,unincorporated community
"Pepperton, Georgia","unincorporated community in Georgia, United States","Pepperton, Georgia",Georgia,unincorporated community
"Percale, Georgia","unincorporated community in Georgia, United States","Percale, Georgia",Georgia,unincorporated community
Perkins,"unincorporated community in Georgia, United States","Perkins, Georgia",Georgia,unincorporated community
"Persimmon, Georgia","unincorporated community in Georgia, United States","Persimmon, Georgia",Georgia,unincorporated community
Petersburg,"unincorporated community in Georgia, United States","Petersburg, Gordon County, Georgia",Georgia,unincorporated community
"Petty, Georgia","unincorporated community in Georgia, United States","Petty, Georgia",Georgia,unincorporated community
"Philema, Georgia","unincorporated community in Georgia, United States","Philema, Georgia",Georgia,unincorporated community
"Philomath, Georgia","unincorporated community in Georgia, United States","Philomath, Georgia",Georgia,unincorporated community
"Phoenix, Georgia","unincorporated community in Georgia, United States","Phoenix, Georgia",Georgia,unincorporated community
Pidcock,"unincorporated community in Georgia, United States","Pidcock, Georgia",Georgia,unincorporated community
Pin Point,"unincorporated community in Georgia, United States","Pin Point, Georgia",Georgia,unincorporated community
"Pine Mountain Valley, Georgia","unincorporated community in Georgia, United States","Pine Mountain Valley, Georgia",Georgia,unincorporated community
"Pine Mountain, Rabun County, Georgia","unincorporated community in Georgia, United States","Pine Mountain, Rabun County, Georgia",Georgia,unincorporated community
"Piney Grove, Georgia","unincorporated community in Georgia, United States","Piney Grove, Georgia",Georgia,unincorporated community
"Pittsburg, DeKalb County, Georgia","unincorporated community in Georgia, United States","Pittsburg, DeKalb County, Georgia",Georgia,unincorporated community
"Pittsburg, Walker County, Georgia","unincorporated community in Georgia, United States","Pittsburg, Walker County, Georgia",Georgia,unincorporated community
"Plainfield, Georgia","unincorporated community in Georgia, United States","Plainfield, Georgia",Georgia,unincorporated community
Plainview,"unincorporated community in Georgia, United States","Plainview, Georgia",Georgia,unincorporated community
"Planter, Georgia","unincorporated community in Georgia, United States","Planter, Georgia",Georgia,unincorporated community
"Pleasant Grove, Georgia","unincorporated community in Georgia, United States","Pleasant Grove, Georgia",Georgia,unincorporated community
"Pocataligo, Georgia","unincorporated community in Georgia, United States","Pocataligo, Georgia",Georgia,unincorporated community
"Poetry, Georgia","unincorporated community in Georgia, United States","Poetry, Georgia",Georgia,unincorporated community
"Point Peter, Georgia","unincorporated community in Georgia, United States","Point Peter, Georgia",Georgia,unincorporated community
"Poplar Springs, Georgia","unincorporated community in Georgia, United States","Poplar Springs, Georgia",Georgia,unincorporated community
"Portland, Georgia","unincorporated community in Georgia, United States","Portland, Georgia",Georgia,unincorporated community
"Powelton, Georgia","unincorporated community in Georgia, United States","Powelton, Georgia",Georgia,unincorporated community
"Powers Park, Georgia","unincorporated community in Georgia, United States","Powers Park, Georgia",Georgia,unincorporated community
Preston,"unincorporated community in Georgia, United States","Preston, Georgia",Georgia,unincorporated community
Pretoria,"unincorporated community in Georgia, United States","Pretoria, Georgia",Georgia,unincorporated community
"Primrose, Georgia","unincorporated community in Georgia, United States","Primrose, Georgia",Georgia,unincorporated community
"Prospect, Georgia","unincorporated community in Georgia, United States","Prospect, Georgia",Georgia,unincorporated community
"Protection, Georgia","unincorporated community in Georgia, United States","Protection, Georgia",Georgia,unincorporated community
"Providence Ferry, Georgia","unincorporated community in Georgia, United States","Providence Ferry, Georgia",Georgia,unincorporated community
"Pumpkin, Georgia","unincorporated community in Georgia, United States","Pumpkin, Georgia",Georgia,unincorporated community
Putney,"unincorporated community in Georgia, United States","Putney, Georgia",Georgia,unincorporated community
Pyles Marsh,"unincorporated community in Georgia, United States","Pyles Marsh, Georgia",Georgia,unincorporated community
Queensland,"unincorporated community in Georgia, United States","Queensland, Georgia",Georgia,unincorporated community
"Quill, Georgia","unincorporated community in Georgia, United States","Quill, Georgia",Georgia,unincorporated community
"Rabun Gap, Georgia","unincorporated community in Georgia, United States","Rabun Gap, Georgia",Georgia,unincorporated community
Radium Springs,"unincorporated community in Georgia, United States","Radium Springs, Georgia",Georgia,unincorporated community
"Raleigh, Georgia","unincorporated community in Georgia, United States","Raleigh, Georgia",Georgia,unincorporated community
"Ramhurst, Georgia","unincorporated community in Georgia, United States","Ramhurst, Georgia",Georgia,unincorporated community
Raoul,"unincorporated community in Georgia, United States","Raoul, Georgia",Georgia,unincorporated community
Raymond,"unincorporated community in Georgia, United States","Raymond, Georgia",Georgia,unincorporated community
"Raysville, Georgia","unincorporated community in Georgia, United States","Raysville, Georgia",Georgia,unincorporated community
"Raytown, Georgia","unincorporated community in Georgia, United States","Raytown, Georgia",Georgia,unincorporated community
"Recovery, Georgia","unincorporated community in Georgia, United States","Recovery, Georgia",Georgia,unincorporated community
Red Bud,"unincorporated community in Georgia, United States","Red Bud, Georgia",Georgia,unincorporated community
"Red Clay, Georgia","unincorporated community in Georgia, United States","Red Clay, Georgia",Georgia,unincorporated community
Red Oak,"unincorporated community in Georgia, United States","Red Oak, Georgia",Georgia,unincorporated community
"Reeves, Georgia","unincorporated community in Georgia, United States","Reeves, Georgia",Georgia,unincorporated community
"Rehoboth, DeKalb County, Georgia","unincorporated community in Georgia, United States","Rehoboth, DeKalb County, Georgia",Georgia,unincorporated community
"Relee, Georgia","unincorporated community in Georgia, United States","Relee, Georgia",Georgia,unincorporated community
"Remus, Georgia","unincorporated community in Georgia, United States","Remus, Georgia",Georgia,unincorporated community
Rex,"unincorporated community in Georgia, United States","Rex, Georgia",Georgia,unincorporated community
"Richwood, Georgia","unincorporated community in Georgia, United States","Richwood, Georgia",Georgia,unincorporated community
"Ridgeville, Georgia","unincorporated community in Georgia, United States","Ridgeville, Georgia",Georgia,unincorporated community
"Rio, Georgia","unincorporated community in Georgia, United States","Rio, Georgia",Georgia,unincorporated community
"Ripley, Georgia","unincorporated community in Georgia, United States","Ripley, Georgia",Georgia,unincorporated community
Rising Fawn,"unincorporated community in Georgia, United States","Rising Fawn, Georgia",Georgia,unincorporated community
"Rivertown, Georgia","unincorporated community in Georgia, United States","Rivertown, Georgia",Georgia,unincorporated community
"Robertstown, Georgia","unincorporated community in Georgia, United States","Robertstown, Georgia",Georgia,unincorporated community
"Rock Branch, Georgia","unincorporated community in Georgia, United States","Rock Branch, Georgia",Georgia,unincorporated community
"Rock Hill, Georgia","unincorporated community in Georgia, United States","Rock Hill, Georgia",Georgia,unincorporated community
Rock Spring,"unincorporated community in Georgia, United States","Rock Spring, Georgia",Georgia,unincorporated community
Rockbridge,"unincorporated community in Georgia, United States","Rockbridge, Georgia",Georgia,unincorporated community
Rockingham,"unincorporated community in Georgia, United States","Rockingham, Georgia",Georgia,unincorporated community
"Rockledge, Georgia","unincorporated community in Georgia, United States","Rockledge, Georgia",Georgia,unincorporated community
"Rocky Face, Georgia","unincorporated community in Georgia, United States","Rocky Face, Georgia",Georgia,unincorporated community
"Rocky Mount, Georgia","unincorporated community in Georgia, United States","Rocky Mount, Georgia",Georgia,unincorporated community
Rogerville,"unincorporated community in Georgia, United States","Rogerville, Georgia",Georgia,unincorporated community
"Rollins, Georgia","unincorporated community in Georgia, United States","Rollins, Georgia",Georgia,unincorporated community
"Roosevelt, Georgia","unincorporated community in Georgia, United States","Roosevelt, Georgia",Georgia,unincorporated community
"Roosterville, Georgia","unincorporated community in Georgia, United States","Roosterville, Georgia",Georgia,unincorporated community
"Roscoe, Georgia","unincorporated community in Georgia, United States","Roscoe, Georgia",Georgia,unincorporated community
Rosebud,"unincorporated community in Georgia, United States","Rosebud, Georgia",Georgia,unincorporated community
"Round Oak, Georgia","unincorporated community in Georgia, United States","Round Oak, Georgia",Georgia,unincorporated community
"Rowena, Georgia","unincorporated community in Georgia, United States","Rowena, Georgia",Georgia,unincorporated community
Rowland Springs,"unincorporated community in Georgia, United States","Rowland Springs, Georgia",Georgia,unincorporated community
"Roxana, Georgia","unincorporated community in Georgia, United States","Roxana, Georgia",Georgia,unincorporated community
"Ruckersville, Georgia","unincorporated community in Georgia, United States","Ruckersville, Georgia",Georgia,unincorporated community
"Rupert, Georgia","unincorporated community in Georgia, United States","Rupert, Georgia",Georgia,unincorporated community
"Ruskin, Georgia","unincorporated community in Georgia, United States","Ruskin, Georgia",Georgia,unincorporated community
Russell,"unincorporated community in Georgia, United States","Russell, Georgia",Georgia,unincorporated community
"Russellville, Georgia","unincorporated community in Georgia, United States","Russellville, Georgia",Georgia,unincorporated community
"Rutland, Georgia","unincorporated community in Georgia, United States","Rutland, Georgia",Georgia,unincorporated community
Rydal,"unincorporated community in Georgia, United States","Rydal, Georgia",Georgia,unincorporated community
"Ryo, Georgia","unincorporated community in Georgia, United States","Ryo, Georgia",Georgia,unincorporated community
Saco,"unincorporated community in Georgia, United States","Saco, Georgia",Georgia,unincorporated community
"Saffold, Georgia","unincorporated community in Georgia, United States","Saffold, Georgia",Georgia,unincorporated community
"Saint Charles, Georgia","unincorporated community in Georgia, United States","Saint Charles, Georgia",Georgia,unincorporated community
"Saint Clair, Georgia","unincorporated community in Georgia, United States","Saint Clair, Georgia",Georgia,unincorporated community
Saint George,"unincorporated community in Georgia, United States","Saint George, Georgia",Georgia,unincorporated community
"Saint Marks, Georgia","unincorporated community in Georgia, United States","Saint Marks, Georgia",Georgia,unincorporated community
"Salem, Oconee County, Georgia","unincorporated community in Georgia, United States","Salem, Oconee County, Georgia",Georgia,unincorporated community
"Sand Hill, Georgia","unincorporated community in Georgia, United States","Sand Hill, Georgia",Georgia,unincorporated community
Sandfly,"unincorporated community in Georgia, United States","Sandfly, Georgia",Georgia,unincorporated community
"Sandtown, Georgia","unincorporated community in Georgia, United States","Sandtown, Georgia",Georgia,unincorporated community
"Sandy Cross, Georgia","unincorporated community in Georgia, United States","Sandy Cross, Georgia",Georgia,unincorporated community
"Sanford, Georgia","unincorporated community in Georgia, United States","Sanford, Georgia",Georgia,unincorporated community
