Record Number,ORGANIZATION,CATEGORY,YEAR FOUNDED,COUNTY,LOCATION,MAILING ADDRESS_1,MAILING ADDRESS_2,MAILING ADDRESS_3,EMAIL,TELEPHONE,PHONE / EMAIL,PUBLIC HOURS,PROGRAMS,COLLECTIONS,WEB SITE,SOCIAL MEDIA SITE,LAST MODIFIED
266,DeVry University,Academic Library (Archives or Special Collections),,DeKalb,,One West Court Square,"Decatur, GA   30058",,,404-274-2903,,7:30 am - 10:00pm Mon-Thursday,,"Academic library holding, mostly science and technology resources.",http://www.atl.devry.edu,,2018-Nov-20
267,Dooly County Library,"Library (Public, Research, Special, etc.)",,Dooly,,1200 East Union Street,"Vienna, GA   31092",,,,229-268-4687  /  info@lbrls.org,M 2-6 Tu&Th 10-8 W 10-6 F 10-4 Sat 10-2,,,http://www.lbrls.org,,
268,Dorchester Academy Museum,"Museum, Historic Site (Parks, etc.)",,Liberty,,P.O. Box 51,8787 East Oglethorpe Highway,"Midway, GA   31320",,912-884-2347,,"Tues-Fri: 11am - 2pm, Sat.-Sun. 2-4pm.",,Artifacts displayed in the Center's Heritage Room.,http://www.dorchesteracademy.com/museum.htm,,
269,Dougherty County Public Library,"Library (Public, Research, Special, etc.)",1906,Dougherty,,300 Pine Avenue,"Albany, GA   31701",,,,229-420-3200  /  cole@docolib.org,"M,Tu,W, 9:30-9; Th-Sat, 9:30-6; Sun, 2-6.","Supports historical and genealogical research, sponsors programs for adults and children, and offers special services for the handicapped.","Books, magazines, county histories, computer software, cassettes, and the Reading Edge Machine. Genealogical resources include: County Histories, Handbooks, Federal Census, Death Registers, Deeds, Church Records, Wills, and Pensions.",http://www.docolib.org,,
270,Douglas County Historical Society,Historical Society,,Douglas,,8562 Campbellton Street,P. O. Box 2018,"Douglasville, GA   30133",,770-949-2787,,"M-F, 9-5.",Promotes programs in historical research.  Produced a historical map of Douglas County.,"American Indian artifacts, books, and medical artifacts from the local area.",,,
271,Drummer Boy Civil War Museum,Museum,1972,Sumter,,109 Church Street,P.O.Box 6,"Andersonville, GA   31711",,,229-924-2558  /  andersonvillega@bellsouth.net,Sun-Sat. 11am to 5pm,Guided tours for 10 or more persons.,"Civil War era letters, telegrams, diaries, currency, and sheet music; weapons, uniforms, clothing, art objects, communication artifacts, tools, coins, metalwork, glass, pottery, ceramics,  American Indian artifacts, and diorama of Andersonville town and prison. Fifteeen mannequins wearing authentic Civil War uniforms, both Union & Confederate, including drummer boy uniforms complete with original drums.  Numerous 1850's & 1860's revolvers, carbines and muskets.  Civil War swords and original flags of the period.  An extensive collection of the estate of Thomas T. Eckert, Chief of the United States Military Telegraph Dept. under Pres. Lincoln.  In all, there are 706 authentic Civil War artifacts.",http://www.andersonvillegeorgia.com/,,
272,Duluth Historical Society,"Library (Public, Research, Special, etc.), Museum, Historic Site (Parks, etc.)",,Gwinnett,,2956 Buford Highway,"Duluth, GA   30096",,,,770-232-7584  /  info@duluthhistorical.org,"Fri. and Sat.s, 12-3 or by appointment","The Duluth Historical Society promotes awareness and preservation of information and resources concerning the history of Duluth and cooperates with other cultural and educational institutions in encouraging historic appreciation and pride in Duluth's history, culture, art, and traditions.  Located in the historic Strickland House (1898), the home of Alice Strickland, first woman mayor in Georgia, the DHS also provides rotating exhibits on various topics.","Research library, Strickland family records, photographs, and local history museum.",http://www.duluthhistorical.org/,,
273,Eagle Tavern Museum,"Government Agency (Federal, State, Local), Museum",1801,Oconee,,P.O. Box 959,26 N. Main Street,"Watkinsville, GA   30677",,,706-769-5197  /  pholcomb@oconee.ga.us,M-Fri 10-5; closed Sunday,"Acquisition, preservation, and exhibition of artifacts and records pertaining to the history of the Eagle Tavern and its relation to the surrounding area.  Lectures, guided tours, historic preservation and educational activities.  Numerous cultural activities and host of Oconee Farmer's Market on the lawn.","Early 19th century tavern and stage stop; maps and photographs; newsprint; furnishings; architectural materials, household textiles and materials; handicrafts; clothing; weapons, archaeological recoveries, including: coins, metalwork, glass, pottery, and ceramics; Edgefield pottery display.",http://www.visitoconee.com,,
274,Early County Historical Society,Historical Society,1968,Early,,P. O. Box 564,"Blakely, GA   39823",,,,229-723-4977  /  hherndon@windstream.net,"Mon - Fri, 9:00-5:30; Sat, 9:30-12:00","Acquisition and preservation of records pertaining to the history of Early County and Southwest Georgia, exhibits, lectures, films, slide shows, tours, field trips, folk arts, annual arts and crafts festival publications, and newsletter.",The office for the society is in the Maddox Memorial Library which also provides space for the society's archival collections.,http://www.rootsweb.ancestry.com/~gaearly/misc/early_historical_society.htm,,
275,Early County Museum,"Historic Site (Parks, etc.)",,Early,,226 North Main Street,P.O. Box 213,"Blakely, GA   39823",,,229-724-7222  /  ecm@earlycountymuseum.com,"Tues., Wed., Thursday  10:00 am to 4:00 pm","Tours available for all ages and prior arrangements can be made by contacting the Museum.  Annual Christmas Tour of Homes is held in December.  Collection includes vintage photographs of families, schools, downtowns in Blakely and surrounding communities, doctor's office, kitchen, bedroom, parlor, country store, farm tools and equipment.","In addition to items listed above, the Museum has a Gift Shop and Gallery consisting of paintings, photography, hand woven baskets, wooden bowls made from local wood, glassware, unique birdhouses, etc., created by local and area artists.  Notecards and Historical Books and cookbook are available for purchase.",http://www.earlycountymuseum.com/,,
276,East Central Georgia Regional Library,,1848,Richmond,,902 Greene Street,"Augusta, GA   30901",,,706-821-2600,,"M-Th, 9-9; F-Sat, 9-5:30; Sun, 2-5:30.",Georgia Reference collection for history and genealogy.,"Personal name index to the Augusta, Georgia, Chronicle, V. 1, 1786-1799; V. 2, 1800-1810;  V. 3 1811-1820; V.4, 1821-1830; a subject and keyword index, 1989-present; vital records index, 1982-present; and a catalog of Augusta City Directories, 1841-1939. Registers of signatures of Depositories in the Augusta, GA branch of the Freedman's Savings & Trust Co., Vol. 1, November 1870 to June 1872, Eula M. Ramsey Johnson Funeral Program Collection.",http://www.ecgrl.public.lib.ga.us,,
277,East Georgia College Library,Academic Library (Archives or Special Collections),1973,Emanuel,,131 College Circle,Luck Flanders Gambrell Center,"Swainsboro, GA   30401",,,478-289-2083  /  library@ega.edu,Please see:  http://www.ega.edu/academics/library/about_the_library/library_hours,,"A collection of material related to Georgia history and culture is located in the Heritage Room, available to all our users. Material in this special collection includes books, periodicals, photographs, and maps and covers local history, genealogy, and the archives of the College. Material from this collection does not circulate.",http://www.ega.edu/academics/library,,2018-Nov-20
278,East Georgia Genealogical Society,Genealogical Society,1991,Barrow,,P. O. Box 117,"Winder, GA   30680",,gaeggs@yahoo.com,,,"Meets 2nd Tues each month, 7:00 p.m.","The East Georgia Genealogical Society (EGGS) offers programs workshops to promote genealogical research.  The group also collects and preserves genealogical records.  Serving the following Counties: Banks, Barrow, Butts, Clarke, Columbia, Elbert, Franklin, Glascock, Greene, Gwinnett, Habersham, Hall, Hancock, Hart, Jackson, Jasper, Lincoln, Madison, McDuffie, Morgan, Newton, Oconee, Oglethorpe, Putnam, Rockdale, Stephens, Taliaferro, Walton, Warren and Wilkes.","Genealogical books for the following families: Bramlett, Dunagan, Elder, Grubb, Harrison, William L., Kelley, Henry S. Leach, McClung, McGehee, Woodall, William H. Potter, Teagle and Andrew and Joel Wages; ancestor charts, obituaries for Barrow and Walton counties, and periodicals. Published the following: Barrow County Georgia Cemeteries; Walton County Georgia Cemeteries; Jackson County Georgia Marriages, 1805-1910; Barrow County Marriages, 1915-1932; East Georgia Settlers - Family Sketches.",http://www.rootsweb.com/~gaeggs/,,2019-Jul-27
279,East Point Historical Society,"Historical Society, Museum",1979,Fulton,,1685 Norman Berry Drive,P. O. Box 90675,"East Point, GA   30364",,,404-767-4656  /  ephs@bellsouth.net,"Th, 1-4.  Sat. 11-3.","Exhibits / Museum related to East Point History, Collections tours, lectures,  publications, quarterly membership meetings, historic preservation resource center, educational activities related to the history of East Point. The society maintains the East Point Historical Society Morgan House.","Oral histories, photographs, maps, and newspapers; cemetery records, artifacts, tools and equipment,  railroad, pioneer histories, african american research materials, past business', genealogy / family files, historic documents, high school yearbooks and related files, 1925 H.K Porter Steam Engine and information related to East Point history.",http://www.eastpoinths.org/,,
280,Eatonton-Putnam County Historical Society,Historical Society,1975,Putnam,,104 Church Street,"Eatonton, GA   31024",,,706-485-6442,,By appointment only.,"Acquisition, preservation, and exhibition of records and artifacts  pertaining to the history of Putnam County; operation of Tompkins Inn, Bledsoe-Greene, and Reid-Bronson-Stubbs House museums; lectures, historic preservation, cemetery restoration, field trips, folk arts, tour of homes, educational activities, newsletter, and publications.","Letters, papers, diaries, city, county, club, church, school, architectural, and genealogical records, maps, photographs, and newspapers; buildings, architectural materials, furniture, household textiles and accessories, handicrafts, clothing, art objects, tools, archaeological objects, glass, and pottery.",,,
281,Effingham County Library,"Library (Public, Research, Special, etc.)",,Effingham,,810 Highway 119 South,"Springfield, GA   31329",,,,912-754-3003  /  tugglej@liveoakpl.org,M-Tu 10-8; W-Sat 10-6,,,http://www.liveoakpl.org,,
282,Elachee Nature Science Center,Other,1979,Hall,,2125 Elachee Drive,"Gainesville, GA   30504",,,,770-535-1976  /  elachee@elachee.org,Mon - Sat 10 - 5.  Check for seasonal hours,"1500 acre Nature Preserve and Trails, Natural History Museum, School and Group Programs,  Family and Public Programs","Assorted archeology and natural history articfacts, 1500 acre nature preserve.",http://www.elachee.org,,
283,Elbert County  Historical Society,Historical Society,1975,Elbert,,P.O. Box 1033,"Elberton, GA   30635",,,706-283-6977,,By appointment only.,"Acquisition and preservation of records and artifacts pertaining to the history of Elbert County and Georgia; restoration of a 1910 Seaboard Passenger Depot; educational activities, tour of homes, newsletter and publications including regular articles in local newspapers, and cemetery walk.","Letters, papers, diaries, photographs, oral history and city, county, business, and genealogical records; furniture, household textiles and accessories, handicrafts, art objects, clothing, tools, weapons, glass, pottery, and metalwork.",,,
284,Elbert County Public Library,"Library (Public, Research, Special, etc.)",,Elbert,,345 Heard Street,"Elberton, GA   30635",,,,706-283-5375  /  agrace@elbertcountypl.org,Mon & Thur 10-8; Tues & Fri 10-5; Sat 9-1,,We house a genealogical collection that includes the resources of the local Historical Society.,http://www.elbertco.net/library.htm,,
285,Elberton Granite Museum and Exhibit,Museum,1981,Elbert,,P. O. Box 640,"Elberton, GA   30635",,,,706-283-2551  /  granite@egaonline.com,"Mon-Sat, 2-5.","Exhibits, films, slide shows, and educational activities, related to the history and economic importance of the Elberton granite area.","Photographs, tools and equipment used in the Elberton granite industry; granite memorabilia.",http://www.egaonline.com/egaassociation/museumcom,,
286,Eleventh Circuit  Historical Society,Historical Society,1983,Fulton,,P.O. Box 1556,"Atlanta, GA   30301",,,,404-335-6395  /  Wanda_Lamar@ca11.uscourts.gov,Not open to the public.,"Sponsorship of the writing of the histories of the federal district courts in AL, FL, and GA;  the history of the Eleventh Circuit Court of Appeals; oral history project of the senior judges of the Eleventh Circuit Court and U.S. District Courts within the circuit; commission the portraits of the senior judges of the Eleventh Circuit; prior sponsorship of speakers for the Eleventh Circuit Judicial Conference; prior co-sponsorship of Federal Appellate Practice Seminar, held in New Orleans, LA [program suspended due to Hurricane Katrina]; publication of a newsletter, 11th Circuit Historical News.","Portraits, photographs, oral history interviews, documents, news articles, books, courthouse artifacts, flags and personal memorabilia pertaining to the US Courts in the 11th Circuit.",http://www.ca11.uscourts.gov/about/histsociety.php,,
287,Elijah Clark State Park Museum,Museum,1958,Lincoln,,2959 McCormick Highway,"Lincolnton, GA   30817",,,706-359-3458,,"Apr-Nov: Sat-Sun, 9-5; and by appointment.","Exhibition of artifacts pertaining to the life of Revolutionary War General Clark and  interpretation of American colonial skills and lifestyle; guided tours, field trips, and educational activities.  Demonstrations at special events.","Log cabins, furniture, household textiles and accessories, clothing and personal adornment, tools, and weapons.",http://gastateparks.org/info/elijah/,,
288,Ellen Payne Odom Genealogy Library,"Library (Public, Research, Special, etc.)",1988,Colquitt,,"204 Fifth Street, SE",P. O. Box 2828,"Moultrie, GA   31768",,,229-985-6540  /  msj@mccls.org,"Odom Library: M-Sat, 8:30-5:30.",Acquisition and preservation of historical and genealogical records and operation of the Odom Genealogy Library.,"Materials relating to the history of the Southeastern US, the Middle Atlantic states, and the New England states, including county histories and records, census data, maps, photographs and newspapers.  Large collection of information on Scottish clans and family organizations.",http://colquitt.k12.ga.us/public_lib/odom_gen.htm,,
289,"Emanuel Arts Council, Inc.","Museum, Society/Association",,Emanuel,,303 North Green Street,P.O. Box 754,"Swainsboro, GA   30401",,,478-237-2592  /  emanuelarts@bellsouth.net,"weekdays, 10 AM-2PM and second Sat. 5 PM-8 PM","Arts and cultural activities: Second Saturday Art Stroll for openings of The Kalmanson Gallery,local artists'gift shop, workshops for children and adults, summer camps, local and professional performances, LaPetite Series for Young Audiences for school children, Arts Emanuel Festival.",Each month a different artist(s) exhibit(s) in The Kalmanson Gallery beginning with the Second Saturday Art Stroll. The is also a permanent collection of artworks from past artists' exhibitions. The facility is an historic church building as well.,http://www.emanuelarts.org,,
290,Emanuel County Historic Preservation Society,Historical Society,1978,Emanuel,,161 Museum Road,P. O. Box 353,"Swainsboro, GA   30401",,478-289-0070,,Open upon request.,"Exhibits, lectures, oral history interviews, educational activities, newsletter, and publication related to the history of Emanuel County. Annual Heritage Day.  The Society meets quarterly.","Farm and Home Museum, including farm and home items, local history, artifacts from the logging, turpentining, and agricultural industries.",,,
291,Etowah Indian Mounds,"Historic Site (Parks, etc.)",1953,Bartow,,"813 Indian Mounds Road, S.E.","Cartersville, GA   30120",,,770-387-3747,,"Tu-Sat, 9-5; Sun 2-5:30; mound area closed 30 minutes before closing","Preservation and interpretation of historical and archaeological resources; exhibits, lectures, films, slide shows, oral history interviews, field trips, and educational activities.  Museum closed until July 2004, please call for confirmation.","Prehistoric American Indian archaeological artifacts, art objects, tools, clothing and  personal adornment, and pottery.",http://gastateparks.org/info/etowah/,,
292,Etowah Valley Historical Society,Historical Society,1972,Bartow,,P. O. Box 1886,"Cartersville, GA   30120",,,,770-606-8862  /  evhs@evhsonline.org,Please contact for hours.,"Preservation of historic buildings and districts in Cartersville and Etowah Valley, preservation of historic artifacts and records, annual tour of homes, restoration of the Allatoona Pass Battlefield and preparation of a self guided tour of the site, restoration of a 1903 courthouse for an office and research center, and in cooperation with the Department of Natural Resources, the restoration of a log cabin at Red Top Mountain State Park.","Letters,  papers, diaries, business records, deeds, maps, photographs, books, videos, and microfilm copies of newspapers.",http://evhsonline.org/,,
293,Euharlee Welcome Center and History Museum,,,Bartow,,33 Covered Bridge Road,"Euharlee, GA   30145",,,,770-607-2017  /  kodom@euharlee.com,None Specified.,,,http://www.euharleehistory.org/,,
294,Factor's Walk Military Museum,Museum,1964,Chatham,,P.O. Box 10041,"Savannah, GA   31412",,,912-233-8003,,No facility at present.,Records and artifacts pertaining to the military history of Georgia are being compiled for publication.,,,,
295,Fayette County Historical Society,"Genealogical Society, Historical Society, Library (Public, Research, Special, etc.), Museum, Historic Site (Parks, etc.)",1971,Fayette,,195 Lee Street,P. O. Box 421,"Fayetteville, GA   30214",,,770-716-6020  /  adminfhs@fayettehistoricalsociety.com,"Tu, 6-9; Th, 10-1; Sat, 9-1.","Acquisition and preservation of records and artifacts pertaining to the history of Fayette County; cemetery restoration, historic preservation, and educational activities. Research Center for genealogy and the study of the Civil War as it pertains to Fayette County and Georgia.","Newspapers and late 19th and 20th century photographs, clothing and artifacts. Over 1,000 family files for genealogical research, family published books, indexes, and census records.  Original Fayette County Records.",http://fayettehistoricalsociety.com,,
296,Fayette County Public Library,,1920,Fayette,,1821 Heritage Park Way,"Fayetteville, GA   30214",,,,770-461-8841  /  csnell@fayettecountyga.gov,M-Th 9-9; F-Sat 9-6.,Acquisition of records pertaining to Fayette County and the Southeast.,Permanent display of Margaret Mitchell photos and news articles; Fayette County records on microfilm; Federal censuses for Georgia (all extant since 1820); soundexes for Georgia (all extant); CD-rom indexes; local history materials.,http://www.fayettecountyga.gov/public_library/index.asp,,
297,Federal Reserve Bank of Atlanta Monetary Museum,Other,,Fulton,,"1000 Peachtree Street, NE","Atlanta, GA   30309",,,,404-498-8777  /  atlantafed@frbatlanta.org,M-F 9 a.m.-4 p.m.,"The Visitors Center and Monetary Museum features a display on the history of money; interactive, multimedia exhibits explaining the Federal Reserve's role in the economy; and a view of the bank's automated vault and cash processing areas. In addition, most group tours include a stop in the bank's boardroom. Currently the Atlanta Fed is open to nonscheduled tours for individuals or groups of fewer than ten people and conducts prescheduled tours only for school, business, and community groups. For groups of 10-30 people, free guided tours of the Visitors Center and Monetary Museum may be scheduled by appointment only. Because our tours are conducted by employee volunteers, we require a two-week window to schedule a tour. Tours are offered Monday through Friday at 9:30 a.m., 11 a.m., and 1 p.m.","The Museum's exhibit of historical artifacts, tells the fascinating story of money-from barter to modern times. It also explains the turbulent history of banking in America and highlights examples of rare coins and currency. The Museum also features interactive and multimedia exhibits that provide in-depth lessons on the role of the Federal Reserve in the U.S. economy. Learn how and why the Fed conducts monetary policy and how its actions affect your life. Hear about the Fed's important roles in bank supervision and regulation. Get the big picture of the many ways the Fed provides payments system services to help our economy run smoothly and maintain the stability of the financial system. Then, take a look inside our cash-processing operations, where millions of dollars are counted, sorted, or shredded daily. You'll also get a glimpse into the bank's automated vault and see the robotic transports that do the heavy lifting.",http://www.frbatlanta.org,,
298,Fernbank Museum of Natural History,Museum,1992,DeKalb,,767 Clifton Road NE,"Atlanta, GA   30307",,,,404-929-6300  /  visitor.information@fernbank.edu,"Mon.-Sat. 10 a.m. to 5 p.m., Sunday Noon to 5 p.m.",Our Mission: Fernbank Museum inspires life-long learning of natural history through dynamic programming to encourage a greater appreciation of our planet and its people.,"Fernbank currently has an active research effort that is based in Georgia archaeology and has grown to encompass geology and ecology-an apt combination of the core sciences found in our natural history museum. Fernbank's collections also illustrate these core natural history topics, with key holdings in archaeology, cultural anthropology, geology and paleontology, malacology and taxidermy.",http://www.fernbank.museum/,,
299,Fields Place -- Vickery House,Society/Association,1941,Lumpkin,,West Main St and Vickery Dr,P. O. Box 141,"Dahlonega, GA   30533",,706-864-3365,,For scheduled events and by appointment.,"Operation of the Vickery House Museum; exhibits, tours, publications, and educational activities related to the history of Dahlonega and Lumpkin County; newsletter and annual craft fair, Christmas tours, and celebration.","Victorian mansion includes photographs, furniture, household textiles, handicrafts, art objects, clothing, tools, radios, glass, pottery, and ceramics.",,,
300,First African Baptist Church Museum,Museum,1773,Chatham,,23 Montgomery Street,"Savannah, GA   31401",,,912-233-2244,,"Daily, 10-4.",Guided tours of the church museum.,Artifacts and church records from 1773 to the present.,http://www.oldestblackchurch.org,,
301,"First Families of Georgia, 1733-1797",Other,1986,DeKalb,,"1604 Executive Park Lane, NE","Atlanta, GA   30329",,,,404-634-9866  /  majelvis@bellsouth.net,n/a,"Encourages interest in the history, culture, and traditions of the State of  Georgia, collects genealogies and family histories and provides a permanent repository for records associated with the society; sponsors society gatherings, and fosters a feeling of kinship among the descendants of families who settles in Georgia from 1733-1797, that is, from the arrival of James Oglethorpe to the end of the Revolutionary period.",Genealogies and family histories.,,,
302,Fitzgerald-Ben Hill County Library,"Library (Public, Research, Special, etc.)",1915,Ben Hill,,123 N. Main Street,"Fitzgerald, GA   31750",,,,229-426-5080  /  shester@fbhcl.org,M-Thurs. 9-8; F-Sat. 9-6.,"Growing collection of historical/ genealogical records from a variety of states.  Detailed desciptions of Fitzgerald's unique founding and heritage.  Many family records, county histories, scrapbooks.  Includes many primary source records.  Access to Ancestry Library Edition via GALILEO.","Local newspapers on film, from 1897 to present (have actual papers until we get the microfilm); loal cemetery and marriage typscripts; books on Georgia history and Georgia county histories; many family records, county histories, and primary source records.",,,
303,Flint River Regional Library,Society/Association,1949,Spalding,,800 Memorial Drive,"Griffin, GA   30223",,,,770-412-4770  /  administrator@frrls.net,"M,Th, 9-9; Tu,W,F, Sat, 9-6.","Internet access including Galileo.  Includes libraries in Butts, Fayette, Lamar, Monroe, Pike, and Spalding counties.",County histories and published state and local records.,http://doc.frrls.net,,
304,Flint Riverquarium,Other,,Dougherty,,117 Pine Avenue,"Albany, GA   31701",,,229-639-2650,,M-F:  9:00 AM-5:00 PM; Sat:  10:00 AM  6:00 PM; Sun:  1:00 PM  5:00 PM,,,http://www.flintriverquarium.com/,,
305,Floride Allen Library,"Library (Public, Research, Special, etc.)",,Baldwin,,400 North Glynn Street,"Milledgeville, GA   31061",,,,478-387-0335  /  webmaster@tllsga.org,Mon.-Fri.: 11am-5pm,,,http://www.tllsga.org,,
306,Folk Pottery Museum of Northeast Georgia,Museum,,White,,PO Box 460,283 GA Hwy 255 N,"Sautee Nacoochee, GA   30571",,,706-878-3300  /  cbrooks@snca.org,Mon.-Sat. 10:00am--5:00pm  Sunday 1:00pm--5:00pm,,,http://www.folkpotterymuseum.com/,,
307,Folkston/Railroad & Transportation Museum,"Historic Site (Parks, etc.)",,Charlton,,202 W. Main St.,"Folkston, GA   31537",,,,912-496-2536  /  okechamber@windstream.net,9:00am to 5:00pm Mon. thru Fri. 10:00 am to 3:00pm,The museum's Annual Rail Watch is held the first Saturday in April. The event is free and there is a train photo contest. Call for details.,Railroad memorabilia other transportation items Also Okefenokee Wildlife Exhibit.,http://www.folkston.com/,,
308,Forest City Branch Library,"Library (Public, Research, Special, etc.)",,Chatham,,1501 Stiles Ave.,"Savannah, GA   31415",,,,912-238-0614  /  tugglej@liveoakpl.org,M-Tu 10-6; W & Sat 2-6; Th 2-8,,,http://www.liveoakpl.org,,
309,Forsyth County Heritage Foundation,Historical Society,1971,Forsyth,,P. O. Box 3121,"Cumming, GA   30028",,,,770-887-1626  /  donshadburn@webtv.net,By appointment only.,"Acquisition and preservation of historical and genealogical records, participation in curriculum development, and publications on the Cherokee Indians and pioneers of Northwest Georgia.  Research:  documents, records, photos.  Publications:  Pioneer-Cherokee Heritage Series vol. 1- 6 (1981-2003), Cherokees & Pioneers of North Georgia.","19th century letters, papers, and church records, 20th century newspapers, and photographs.",,,
310,Forsyth County Public Library,,1996,Forsyth,,585 Dahlonega Road,"Cumming, GA   30040",,,,770-781-9840  /  mcdanielj@forsythpl.org,"M-Th, 10-8:30; F-Sat, 10-5:30, Sun 1:30-5:30",Promotion of historical and genealogical research.,"Small collection of Forsyth historical books in-house, as well as web page links to Forsyth historical and genealogical web sites.  The Forsyth County News is available in microfilm from 1917-10/2000.  Paper editions held from 10/2000 to present.  Intermittent microfilm for the Forum from 1994-1997.",http://www.forsythpl.org,,
311,Fort Benning,"Library (Public, Research, Special, etc.), Academic Library (Archives or Special Collections), Government Agency (Federal, State, Local), Other",,Muscogee,,MCoE-HQ libraries,"7355 Haltz St, Ste 130","Fort Benning, GA   31905",,,706-545-6411  /  ArmorRefDesk@conus.army.mil,Mon-Thu 8:00 a.m. - 6:00 p.m. Fri 8:00 a.m - 6:00 p.m.,"The Library provides reference/research/bibliographic assistance to students, faculty and staff of the United States Army Infantry School.  Anyone who has access to Fort Benning is allowed to use the library.  Specific requirements must be met in order to check out library materials.  Library may photocopy reference materials for patrons not able to obtain a library card.  Interlibrary loan services are available.","The Library's unique collection includes items from the 16th-19th centuries, rare manuscripts and historical documents from the US Army Divisions, regiments and battalions, the history of Fort Benning, etc.  Currently, the library holds more than 250, 000 items and is used primarily to support the United States Infantry School and its classes. The collection is known worldwide by researchers and writers seeking information on Infantry History and other military-related topics.  The library has an in-house collection of US Army Field Manuals (FMs).  They are available either as bound volumes, or in paper copy.  Our collection of FMs is used by students, faculty, staff and patrons studying the evolution of the US Army and Infantry doctrine written in the Soldiers' professional materials -- the Field Manual.  Our online catalog may be accessed at:  http://mylibrary.us.army.mil/uPortal/Initialize?uP_tparam=props&props=TSQ&uP_reload_layout=true (via our website).",http://www.benning.army.mil/library/,,
312,Fort Frederica National Monument,"Government Agency (Federal, State, Local), Historic Site (Parks, etc.)",1945,Glynn,,6515 Frederica Rd.,"St. Simons Island, GA   31522",,,,912-638-3639  /  fofr_administration@nps.gov,"Daily, 9-5 except Christmas",Colonial and local history.,Margaret Davis Cate Collection which has genealogical information on the descendants of 18th century Fort Frederica and information on the history of the fort which is stored at the Georgia Historical Society.,http://www.nps.gov/fofr/,,
313,Fort King George Historic Site,Historical Society,1961,McIntosh,,P O. Box 711,"Darien, GA   31305",,,,912-437-4770  /  ftkgeo@darientel.net,"Tu-Sat, 9-5; Sun, 2-5:30","Interpretation of the history of Darien and Fort King George; preservation of historic site and artifacts; exhibits, slide shows, guided tours, and educational activities.","Maps, photographs, and newspapers; furniture, tools, archaeological objects, coins, pottery, colonial ceramics, and American Indian artifacts.",http://www.gastateparks.org/fortkinggeorge/,,
314,Fort McAllister Historic Park,"Historic Site (Parks, etc.)",1958,Bryan,,3894 Ft. McAllister Rd.,"Richmond Hill, GA   31324",,,,912-727-2339  /  ftmcallr@coastalnow.net,Mon - Sat. 9-5,"Exhibits, workshops, films, slide shows, guided tours, educational activities, and festivals and celebrations.","Civil War era letters, papers, genealogical records, photographs, and maps; Civil War weapons and tools.",http://gastateparks.org/info/ftmcallister/,,
315,Fort Morris State Historic Site,"Historic Site (Parks, etc.)",1976,Liberty,,2559 Fort Morris Road,"Midway, GA   31320",,,912-884-5999,,"Tu-Sat, 9-5; Sun, 2-5:30, closed Mon.","Interpretation of historic site through exhibits, films, guided tours, folk arts, educational activities, publications, and annual Revolutionary War program, War of 1812 program, and Colonial programs.","Books, weapons, archaeological objects, glass, pottery, ceramics, metalwork, and earthen fortification from War of 1812 and Revolutionary War eras.",http://www.fortmorris.org/content/georgia/parks/fortmorris/,,
316,Fort Mountain State Park,"Government Agency (Federal, State, Local), Historic Site (Parks, etc.)",1938,Murray,,181 Fort Mountain Park Road,"Chatsworth, GA   30705",,,706-422-1932,,"M-Sun, 7-10.","Interpretation of the history and natural resources of Fort Mountain State Park, lectures, guided tours, and natural history programs on a seasonal basis.",Historic Rock Wall and American Indian arrowheads.,http://gastateparks.org/info/fortmt/,,
317,Fort Oglethorpe,Museum,1987,Catoosa,,2 Barnhardt Circle,"Fort Oglethorpe, GA   30742",,,,706-861-2860  /  info@6thcavalrymuseum.com,Tues-Sat 9:00 a.m. - 4:00 p.m.,Tours and reunions for veterans.,"Horse cavalry memorabilia, pictures, displays, motorized equipment, and veterans' records.",http://www.6thcavalrymuseum.com/ftoglethorpefactsheet.html,,
318,Fort Pulaski National Monument,"Historic Site (Parks, etc.)",1924,Chatham,,P.O. Box 30757,"Savannah, GA   31410",,,,912-786-5787  /  FOPU_Administration@nps.gov,"Daily, 9-5, except Thanksgiving and Christmas","Preservation and interpretation of historic site; exhibits, oral history interviews, educational activities, introductory video, self guided tours, and publications relating to the history of Fort Pulaski.","Civil War-era letters, papers, and diaries; architectural records, oral histories, and photographs; buildings, furniture, art objects, and military weapons, equipment, and uniforms.",http://www.nps.gov/fopu/,,
319,Fort Stewart Museum,Museum,1977,Liberty,,2022 Frank Cochran Dr.,Bldg. T-904,"Fort Stewart, GA   31314",,912-767-7885,,"10 a.m. to 4 .m, Tues. - Sat., Closed Sundays, Mon. and Federal Holidays","Acquisition, preservation, and exhibition of artifacts pertaining to the history of Fort Stewart, the 24th Infantry Division, and the 3rd Infantry Division.","Military uniforms, weapons, equipment, and transportation, and communications artifacts.",http://www.stewart.army.mil/ima/sites/about/history.asp,,
320,Fort Valley State College Library,"Library (Public, Research, Special, etc.), Academic Library (Archives or Special Collections)",1895,Peach,,1005 State College Drive,"Fort Valley, GA   31030",,,,478-825-6342  /  taylorc@fvsu.edu,"F, 8-5.",O'Neal Ham and Egg Festival.,"Residential papers:  Horace Mann Bond, C.V. Troupe, Waldo E. Blanchet.  History of Fort Valley High & Industrial School and Fort Valley State College.  Robert Church Extension Agent and County Agent.  Henry A. Hunt papers.  William S.M. Banks, Dean of Faculty papers.",http://www.usg.edu/inst/fvsu/,,
